name,website,domain,phone,country,city,state,industry,employee_count,founded_year,linkedin_url,facebook_url,twitter_url,description,quality_score
CallTek,http://www.calltekinc.com,calltekinc.com,+1 949-268-9196,United States,Irvine,California,information technology & services,380,2004,http://www.linkedin.com/company/calltek-inc.,,https://twitter.com/calltekcosmos,,100
International Call Center Services - ICCS.com,http://www.iccs.com,iccs.com,,United States,New York,New York,outsourcing/offshoring,36,2019,http://www.linkedin.com/company/internationalcallcenterservice,,,,100
IPsoft,http://www.ipsoft.com,ipsoft.com,+1 212-708-5500,United States,New York,New York,information technology & services,500,1998,http://www.linkedin.com/company/ipsoft,https://facebook.com/ipsoftinc/,https://twitter.com/ipsoft,,100
SGF Global,http://www.sgfglobal.com,sgfglobal.com,+1 954-454-7676,United States,Hallandale Beach,Florida,staffing & recruiting,780,1992,http://www.linkedin.com/company/sgf-global,https://www.facebook.com/SGFGlobal,https://twitter.com/SGFGlobal,,100
Thrive Global,http://www.thriveglobal.com,thriveglobal.com,+1 855-934-3897,United States,New York,New York,information technology & services,630,2016,http://www.linkedin.com/company/thrive-global,https://www.facebook.com/boundlessai,http://twitter.com/@boundlessai,,100
Readymode,http://www.readymode.com,readymode.com,+1 800-694-1049,Canada,Vancouver,British Columbia,information technology & services,93,2014,http://www.linkedin.com/company/readymode,https://facebook.com/askxencall,https://twitter.com/xencall,,100
Convertros,http://www.convertros.com,convertros.com,+1 877-258-8217,United States,Atlanta,Georgia,management consulting,52,2019,http://www.linkedin.com/company/convertros,https://www.facebook.com/profile.php,,,100
All Star BPO LLC,http://www.allstarbpo.com,allstarbpo.com,+1 804-298-1219,United States,Palatine,Illinois,telecommunications,500,2014,http://www.linkedin.com/company/allstarbpo,https://www.facebook.com/allstarbpo,,,100
"Genesis Call Center, LLC",http://www.genesiscustomercare.com,genesiscustomercare.com,,United States,Fayetteville,North Carolina,facilities services,17,2013,http://www.linkedin.com/company/genesis-call-center-llc,https://www.facebook.com/GenesisCallCenter/,,,100
Efiempresa,http://www.efiempresa.com,efiempresa.com,+34 910 60 61 41,United States,Riverview,Florida,staffing & recruiting,42,2005,http://www.linkedin.com/company/efiempresa,https://www.facebook.com/efiempresa/,https://twitter.com/efiempresa,,100
ASK Consulting,http://www.askconsulting.com,askconsulting.com,+1 678-990-0403,United States,Alpharetta,Georgia,staffing & recruiting,1000,1995,http://www.linkedin.com/company/ask-consulting-,,https://twitter.com/askstaffing,,100
CallHub,http://www.callhub.io,callhub.io,,United States,Washington,District of Columbia,information technology & services,180,2011,http://www.linkedin.com/company/callhub.io,https://www.facebook.com/callhub,http://twitter.com/callhubio,,100
Happy BPO & Call Center Services,http://www.thehappyleads.com,thehappyleads.com,,United States,Boca Raton,Florida,outsourcing/offshoring,23,2007,http://www.linkedin.com/company/happy-bpo-&-call-center-services,,,,100
Call Center Solutions,http://www.ccssuccess.com,ccssuccess.com,+1 209-337-5705,United States,Panama City Beach,Florida,staffing & recruiting,200,,http://www.linkedin.com/company/my-call-center-solutions,,,,100
Convoso,http://www.convoso.com,convoso.com,+1 888-456-5454,United States,Los Angeles,California,information technology & services,240,2006,http://www.linkedin.com/company/convoso,https://www.facebook.com/Convoso/,https://twitter.com/convoso,,100
tricontes callcenter münchen,http://www.tricontes.com,tricontes.com,+49 89 2040040,United Kingdom,,England,marketing & advertising,15,2004,http://www.linkedin.com/company/tricontes-callcnter-m-nchen,,,,100
tricontes callcenter münchen,http://www.tricontes.com,tricontes.com,+49 89 2040040,United Kingdom,,England,marketing & advertising,15,2004,http://www.linkedin.com/company/tricontes-callcnter-m-nchen,,,,100
Cedar,http://www.cedar.com,cedar.com,+1 917-470-9310,United States,New York,New York,hospital & health care,800,2016,http://www.linkedin.com/company/cedar-inc.,https://facebook.com/CedarNY/,https://twitter.com/CedarNY,,100
"DataStaff, Inc.",http://www.datastaffnc.com,datastaffnc.com,+1 919-874-0009,United States,Raleigh,North Carolina,staffing & recruiting,79,1998,http://www.linkedin.com/company/datastaff-inc,https://facebook.com/DataStaffnc,https://twitter.com/DataStaff,,100
Bold Business,http://www.boldbusiness.com,boldbusiness.com,+1 212-913-9134,United States,Saint Petersburg,Florida,outsourcing/offshoring,370,2015,http://www.linkedin.com/company/bold-business,https://www.facebook.com/TheBoldBusinessNews/,https://twitter.com/TheBoldBusiness,,100
Toucan Telemarketing Ltd,http://www.toucantelemarketing.co.uk,toucantelemarketing.co.uk,+44 1260 294444,United Kingdom,Congleton,England,marketing & advertising,13,2001,http://www.linkedin.com/company/toucan-telemarketing,http://www.facebook.com/pages/Toucan-Telemarketing-Ltd/139420589419565,http://twitter.com/toucan1,,100
ClearDesk,http://www.hubs.li,hubs.li,+1 424-208-2388,United States,San Diego,California,staffing & recruiting,190,2020,http://www.linkedin.com/company/thecleardesk,,,,100
Fidelity TalentSource,http://www.fidelitytalentsource.com,fidelitytalentsource.com,+1 617-563-9840,United States,Boston,Massachusetts,financial services,230,1986,http://www.linkedin.com/company/fidelity-talentsource,,,,100
1840 & Company,http://www.1840andco.com,1840andco.com,,United States,Overland Park,Kansas,outsourcing/offshoring,450,2014,http://www.linkedin.com/company/1840-company,,,,100
Al Rehman Communication LLC,http://www.alrehmancommunication.com,alrehmancommunication.com,0518891844,United States,Orlando,Florida,telecommunications,33,2014,http://www.linkedin.com/company/alrehman-communications,https://www.facebook.com/alrehman.communications,,,100
Customer Service & Call Center Verband Deutschland e. V. (CCV),http://www.cc-verband.de,cc-verband.de,+49 30 20613280,Germany,Berlin,Berlin,political organization,34,1996,http://www.linkedin.com/company/ccvev,,,,100
Quality Contact Solutions,http://www.qualitycontactsolutions.com,qualitycontactsolutions.com,+1 866-963-2889,United States,Horsham,Pennsylvania,outsourcing/offshoring,31,2007,http://www.linkedin.com/company/quality-contact-solutions,https://www.facebook.com/Quality-Contact-Solutions-102181764928481/,,,100
Cendyn,http://www.cendyn.com,cendyn.com,+1 561-750-3173,United States,Boca Raton,Florida,information technology & services,640,1996,http://www.linkedin.com/company/cendyn,,,,100
CallMiner,http://www.callminer.com,callminer.com,+1 781-547-5690,United States,Waltham,Massachusetts,information technology & services,310,2002,http://www.linkedin.com/company/callminer,http://www.facebook.com/CallMinerInc,http://www.twitter.com/CallMiner,,100
Deepgram,http://www.deepgram.com,deepgram.com,+1 415-255-5649,United States,San Francisco,California,information technology & services,220,2015,http://www.linkedin.com/company/deepgram,https://www.facebook.com/deepgram/,http://twitter.com/DeepgramAPI,,100
Apidel Technologies,http://www.apideltech.com,apideltech.com,+1 800-675-3810,United States,Plainfield,Illinois,staffing & recruiting,350,2012,http://www.linkedin.com/company/apidel-technologies,https://www.facebook.com/apidel,https://twitter.com/ApidelTech,,100
Virtudesk,http://www.myvirtudesk.com,myvirtudesk.com,+1 360-334-6464,United States,Bellevue,Washington,outsourcing/offshoring,510,2016,http://www.linkedin.com/company/virtudesk,https://www.facebook.com/virtudesk,https://twitter.com/virtudeskcom,,100
TCN,http://www.tcn.com,tcn.com,+1 866-745-1900,United States,Saint George,Utah,information technology & services,260,1999,http://www.linkedin.com/company/tcn-inc,https://facebook.com/tcnp3/,https://twitter.com/tcn,,100
Multilingual Interpreters and Translators,http://www.multilingualint.com,multilingualint.com,+1 863-356-7692,United States,Winter Haven,Florida,translation & localization,660,2017,http://www.linkedin.com/company/multilingualint,,,,100
West Coast Call Center Inc,http://www.westcoastcallcenter.com,westcoastcallcenter.com,+1 855-285-0458,United States,Ceres,California,marketing & advertising,45,2011,http://www.linkedin.com/company/west-coast-call-center,http://www.facebook.com/WestCoastCallCenter,,,100
SellingSara,http://www.sellingsara.com,sellingsara.com,,United States,New York,New York,management consulting,12,2024,http://www.linkedin.com/company/sellingsara,,,,100
Group V3,http://www.grupov3.com,grupov3.com,,Spain,Valladolid,Castile and Leon,telecommunications,190,,http://www.linkedin.com/company/grupov3,,,,100
Abstract Management Group,http://www.abstractmanagementgroup.ca,abstractmanagementgroup.ca,+1 647-931-7182,Canada,Toronto,Ontario,marketing & advertising,37,,http://www.linkedin.com/company/abstract-management-group,https://www.facebook.com/Abstract-Management-Group-101578425943197/,https://twitter.com/abstract_mg/,,100
LBS - Lotus Business Solutions,http://www.hirelbs.com,hirelbs.com,+1 646-741-8720,United States,Denver,Colorado,management consulting,55,2011,http://www.linkedin.com/company/lbs-lotus-business-solutions,https://www.facebook.com/hirelbs,,,100
Hit Rate Solutions,http://www.hitratesolutions.com,hitratesolutions.com,+1 855-231-3730,United States,Chicago,Illinois,outsourcing/offshoring,35,2008,http://www.linkedin.com/company/hit-rate-solutions,https://www.facebook.com/HitRateSolutions/,https://twitter.com/hitratesolution,,100
The Medical Affairs Company (TMAC),http://www.themedicalaffairscompany.com,themedicalaffairscompany.com,+1 678-581-4400,United States,Kennesaw,Georgia,pharmaceuticals,150,2007,http://www.linkedin.com/company/the-medical-affairs-company,https://facebook.com/pages/The-Medical-Affairs-Company-TMAC/144767252224090?v=wall&ref=ts,https://twitter.com/TMAC_MSLCareers,,100
Murray Resources - Best Staffing Agency,http://www.murrayresources.com,murrayresources.com,+1 713-935-0009,United States,Houston,Texas,staffing & recruiting,96,1988,http://www.linkedin.com/company/murray-resources,https://www.facebook.com/MurrayResources/,https://twitter.com/murrayresources,,100
Burnett Specialists Staffing | Recruiting,http://www.burnettspecialists.com,burnettspecialists.com,+1 713-977-4777,United States,Houston,Texas,staffing & recruiting,200,1974,http://www.linkedin.com/company/burnettspecialists-staffing-recruiting,https://www.facebook.com/burnettspecialistsstaffing,https://twitter.com/workwithburnett,,100
Brave BPO,http://www.bravebpo.com,bravebpo.com,+1 403-680-7307,United States,Worland,Wyoming,telecommunications,44,2016,http://www.linkedin.com/company/bravebpo,,,,100
Baja Call Center Inc.,http://www.bajacallcenter.com,bajacallcenter.com,+1 866-868-8790,United States,San Diego,California,outsourcing/offshoring,230,2014,http://www.linkedin.com/company/baja-call-center-services,https://www.facebook.com/BajaCallCenterServices,https://twitter.com/@bajacallcenter,,100
Ambs Call Center,http://www.ambscallcenter.com,ambscallcenter.com,+1 800-968-1181,United States,Jackson,Michigan,telecommunications,47,1932,http://www.linkedin.com/company/ambscallcenter,https://www.facebook.com/ambscallcenter/,https://twitter.com/AmbsCallCenter,,100
Speechmatics,http://www.speechmatics.com,speechmatics.com,+44 122 379 4497,United Kingdom,Cambridge,England,information technology & services,150,2006,http://www.linkedin.com/company/speechmatics,https://facebook.com/speechmatics,https://twitter.com/Speechmatics/,,100
Upcision,http://www.upcision.com,upcision.com,+1 323-628-1480,United States,Miami,Florida,marketing & advertising,17,,http://www.linkedin.com/company/upcision,https://www.facebook.com/upcision.co,https://twitter.com/upcision,,100
HNE,http://www.harrisonnationalemployment.com,harrisonnationalemployment.com,,United States,Oakland Park,Florida,staffing & recruiting,55,2019,http://www.linkedin.com/company/harrison-national-employment,,,,100
Aristo Sourcing,http://www.aristosourcing.com,aristosourcing.com,,United Kingdom,London,England,outsourcing/offshoring,21,2014,http://www.linkedin.com/company/aristo-sourcing,,,,100
ContactLink Solutions LLC,http://www.contactlinksolutions.com,contactlinksolutions.com,+1 302-414-8039,United States,Wilmington,Delaware,translation & localization,140,2022,http://www.linkedin.com/company/contactlink-solutions,,,,100
DialApplet,http://www.dialapplet.com,dialapplet.com,,Spain,Valencia,Valencian Community,information technology & services,43,2011,http://www.linkedin.com/company/dialapplet,,,,100
Remote Raven,http://www.hireremoteraven.com,hireremoteraven.com,+1 800-940-5919,United States,Scottsdale,Arizona,consumer services,65,,http://www.linkedin.com/company/remote-raven,https://www.facebook.com/RemoteRaven,,,100
CrecenTech Systems Private Limited,http://www.crecentech.com,crecentech.com,+1 855-855-0860,United States,Exton,Pennsylvania,information technology & services,240,2014,http://www.linkedin.com/company/crecentechsystems,https://www.facebook.com/crecentechsystems,https://mobile.twitter.com/crecen_tech,,100
Phone&Fun,http://www.phonefun.es,phonefun.es,,Spain,Santander,Cantabria,information technology & services,130,2004,http://www.linkedin.com/company/phone-fun,,,,100
The Midtown Group,http://www.themidtowngroup.com,themidtowngroup.com,+1 202-887-4747,United States,Washington,District of Columbia,management consulting,380,1989,http://www.linkedin.com/company/the-midtown-group,https://www.facebook.com/DCMidtownGroup/,https://twitter.com/dcmidtowngroup,,100
Diabolocom,http://www.diabolocom.com,diabolocom.com,+1 786-292-7183,France,Paris,Ile-de-France,information technology & services,130,2005,http://www.linkedin.com/company/diabolocom,,https://twitter.com/diabolocom,,100
Luster,http://www.luster.ai,luster.ai,,United States,Indianapolis,Indiana,information technology & services,19,2024,http://www.linkedin.com/company/luster-ai,,,,100
M-Power Solutions,http://www.supermpower.com,supermpower.com,,United States,Pikesville,Maryland,real estate,16,2018,http://www.linkedin.com/company/supermpower,,,,100
Klozer.io,http://www.klozer.io,klozer.io,+61 2 9066 6593,Australia,Sydney,New South Wales,telecommunications,170,,http://www.linkedin.com/company/klozer-inc,,,,100
Connect6 Group,http://www.connect6group.com,connect6group.com,+1 866-597-3662,Canada,Toronto,Ontario,marketing & advertising,390,2014,http://www.linkedin.com/company/connect6groupinc.,https://www.facebook.com/connect6group/,,,100
Convins B.V.,http://www.convins.eu,convins.eu,+31 55 366 5771,Netherlands,Apeldoorn,Gelderland,telecommunications,57,2009,http://www.linkedin.com/company/convins-teleservice,https://www.facebook.com/Convins-292713858287313/,,,100
USA Outsource Today,http://www.usaoutsourcetoday.com,usaoutsourcetoday.com,+1 800-783-7519,United States,Albany,New York,outsourcing/offshoring,19,2003,http://www.linkedin.com/company/usa-outsource-today,https://www.facebook.com/usaoutsourcetoday/,https://twitter.com/UsaOutsourceTod,,100
Tactical TeleSolutions,http://www.ttstechnique.com,ttstechnique.com,+1 415-788-8808,United States,Walnut Creek,California,telecommunications,45,1991,http://www.linkedin.com/company/tactical-telesolutions,,,,100
FFP Global,http://www.ffpglobal.com,ffpglobal.com,,United States,Westborough,Massachusetts,outsourcing/offshoring,34,1996,http://www.linkedin.com/company/ffp-global,,,,100
Nothelle Call Center Services GmbH,http://www.nothelle.de,nothelle.de,+49 203 28659111,Germany,Duisburg,Nordrhein-Westfalen,telecommunications,150,1997,http://www.linkedin.com/company/nothellecc,https://www.facebook.com/nothellecallcenter ,,,100
i-Call International,http://www.icallinternational.com,icallinternational.com,+1 818-239-4744,United States,Saint Petersburg,Florida,translation & localization,190,2020,http://www.linkedin.com/company/icallinternational,,,,100
Ozonetel   |   oneCXi,http://www.ozonetel.com,ozonetel.com,1-800-123-150150,United States,San Jose,California,information technology & services,370,2007,http://www.linkedin.com/company/ozonetel,https://business.facebook.com/OzonetelCommunications/,http://twitter.com/@kookoo_ozonetel,,100
Telesales Services LLC,http://www.telesalesservices.com,telesalesservices.com,+1 585-388-8776,United States,Fairport,New York,outsourcing/offshoring,37,1997,http://www.linkedin.com/company/telesales-services-llc,,,,100
Core Personnel Staffing Services,http://www.corepersonnelstaffing.com,corepersonnelstaffing.com,+1 214-764-6360,United States,Dallas,Texas,staffing & recruiting,220,2013,http://www.linkedin.com/company/core-personnel-llc,,,,100
Vsynergize AI,http://www.vsynergize.com,vsynergize.com,+1 732-481-9424,United States,Westborough,Massachusetts,information technology & services,410,2001,http://www.linkedin.com/company/vsynergize,https://www.facebook.com/p/VSynergize-Outsourcing-100071015685091/,https://twitter.com/Vsynergize_,,100
3i People,http://www.3ipeople.com,3ipeople.com,+1 404-636-2397,United States,Alpharetta,Georgia,information technology & services,80,2002,http://www.linkedin.com/company/3ipeople,https://facebook.com/3ipeople,https://twitter.com/3ipeople,,100
FreJun,http://www.frejun.com,frejun.com,+1 619-786-5468,United States,Seattle,Washington,information technology & services,38,2019,http://www.linkedin.com/company/frejun,https://www.facebook.com/Frejun-224425351267903/,https://twitter.com/frejun_app,,100
interface.ai,http://www.interface.ai,interface.ai,+1 650-381-9283,United States,Covina,California,information technology & services,240,2019,http://www.linkedin.com/company/interface-ai,https://www.facebook.com/getpayjo,https://twitter.com/getpayjo,,100
Allied OneSource,http://www.alliedonesource.com,alliedonesource.com,+1 913-387-5400,United States,Lenexa,Kansas,staffing & recruiting,210,1960,http://www.linkedin.com/company/allied-onesource,,,,100
Pure Telemarketing Ltd,http://www.puretelemarketingltd.co.uk,puretelemarketingltd.co.uk,,United Kingdom,Macclesfield,England,marketing & advertising,11,1999,http://www.linkedin.com/company/phonetic-limited,,,,100
Dunhill Professional Search & Government Solutions,http://www.dunhillsolutions.com,dunhillsolutions.com,+1 833-782-3348,United States,Wilmington,North Carolina,information technology & services,14,2001,http://www.linkedin.com/company/dunhill-professional-search-&-government-solutions,,,,100
Marketcall,http://www.marketcall.nl,marketcall.nl,+31 55 576 2838,Netherlands,Apeldoorn,Gelderland,market research,24,2007,http://www.linkedin.com/company/marketcall,,,,100
Cyara,http://www.cyara.com,cyara.com,+1 650-549-8522,United States,Austin,Texas,information technology & services,390,2006,http://www.linkedin.com/company/cyara,https://facebook.com/Cyara,https://twitter.com/GetCyara,,100
HORIZONT,http://www.horizont.net,horizont.net,+49 69 75951870,Germany,Frankfurt,Hesse,information technology & services,170,1983,http://www.linkedin.com/company/horizont,https://www.facebook.com/Horizont,https://twitter.com/Horizont,,100
Call Center Today,http://www.callcentertoday.com,callcentertoday.com,+1 888-835-5326,United States,Los Angeles,California,facilities services,15,2002,http://www.linkedin.com/company/call-center-today,https://facebook.com/Call-Center-Today/126213820722984,https://twitter.com/callcentertoday,,100
Balance Staffing Company,http://www.balancestaffing.com,balancestaffing.com,+1 954-772-4888,United States,Stockton,California,staffing & recruiting,410,1997,http://www.linkedin.com/company/balancestaffing,https://www.facebook.com/balancestaffingfirm/,https://twitter.com/BalanceStaffCo,,100
SOFIP,http://www.sofip-sa.fr,sofip-sa.fr,,France,Neuilly-sur-Seine,Ile-de-France,management consulting,300,1982,http://www.linkedin.com/company/sofip,,,,100
World Class Contact Centers,http://www.worldclasscc.com,worldclasscc.com,+1 866-301-5333,United States,New York,New York,management consulting,33,2019,http://www.linkedin.com/company/world-class-contact-centers,,,,100
Customer Elation,http://www.customerelation.com,customerelation.com,,United States,Minneapolis,Minnesota,outsourcing/offshoring,150,1993,http://www.linkedin.com/company/customer-elation,,,,100
BenchmarkPortal,http://www.benchmarkportal.com,benchmarkportal.com,+1 800-214-8929,United States,Santa Barbara,California,telecommunications,23,1995,http://www.linkedin.com/company/benchmarkportal,https://facebook.com/BenchmarkPortal,https://twitter.com/benchmarkportal,,100
Combray Solutions,http://www.combraysolutions.com,combraysolutions.com,,Spain,Barcelona,Catalonia,facilities services,130,2001,http://www.linkedin.com/company/combray-solutions,https://facebook.com/CombraySolutions,,,100
ProCore Solutions,http://www.donnellycommunications.com,donnellycommunications.com,+1 404-443-2800,United States,Marietta,Georgia,outsourcing/offshoring,53,1981,http://www.linkedin.com/company/procore-solutions,https://facebook.com/pages/Donnelly-Communications/152815291402401,,,100
Remote Growth Partners,http://www.remotegrowthpartners.com,remotegrowthpartners.com,,United States,New York,New York,outsourcing/offshoring,31,2022,http://www.linkedin.com/company/remote-growth,,,,100
Remote Workmate,http://www.remoteworkmate.com,remoteworkmate.com,+61 2 8294 8160,Australia,Southport,Queensland,outsourcing/offshoring,69,2008,http://www.linkedin.com/company/remote-workmate,https://www.facebook.com/workmatecareers,https://twitter.com/remoteworkmate1,,100
Rios Global,http://www.riosglobal.pro,riosglobal.pro,,United Kingdom,London,,marketing & advertising,12,,http://www.linkedin.com/company/riosglobal,,,,100
Arrow Workforce Solutions,http://www.arrowworkforce.com,arrowworkforce.com,+1 407-205-0500,Canada,Toronto,Ontario,staffing & recruiting,410,2006,http://www.linkedin.com/company/arrow-professional-services,,https://twitter.com/ArrowProf,,100
Callers,http://www.callers.ai,callers.ai,,United States,New York,New York,information technology & services,55,2019,http://www.linkedin.com/company/callersai,,,,100
Innovative Systems Group,http://www.innovativesys.com,innovativesys.com,+1 630-858-8500,United States,Glen Ellyn,Illinois,outsourcing/offshoring,220,1991,http://www.linkedin.com/company/innovative-systems-group,https://facebook.com/innovativesystemsgroup,https://twitter.com/IsgconSultinG_1,,100
EDM Lead Network,http://www.edmleadnetwork.com,edmleadnetwork.com,+1 833-711-8975,United States,Gilbert,Arizona,marketing & advertising,52,2018,http://www.linkedin.com/company/edm-lead-network,,,,100
NAM Info Inc,http://www.nam-it.com,nam-it.com,+1 732-777-5181,United States,Cranbury Township,New Jersey,information technology & services,140,2000,http://www.linkedin.com/company/nam-info-inc,https://www.facebook.com/naminfoinc,,,100
PrincePerelson and Associates,http://www.perelson.com,perelson.com,+1 801-532-1000,United States,Salt Lake City,Utah,staffing & recruiting,59,1992,http://www.linkedin.com/company/prince-perelson-and-associates,https://www.facebook.com/PrincePerelson,https://twitter.com/PrincePerelson,,100
Call Center Barcelona,http://www.callcenterbarcelona.es,callcenterbarcelona.es,+34 931 80 01 88,Spain,Barcelona,Catalonia,telecommunications,31,2007,http://www.linkedin.com/company/call-center-barcelona,https://www.facebook.com/CallCenterBarcelona/,,,100
